<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.05.02	13:45:00	90133	90165	90070	90112	4371	13334	1
2018.05.02	13:50:00	90112	90138	90064	90101	3010	9241	1
2018.05.02	13:55:00	90107	90107	90033	90049	4234	13860	1
2018.05.02	14:00:00	90049	90075	89990	90059	4572	16691	1
2018.05.02	14:05:00	90059	90091	90033	90070	3323	10528	1
2018.05.02	14:10:00	90080	90133	90064	90075	3836	12810	1
2018.05.02	14:15:00	90080	90123	90054	90080	2713	8654	1
2018.05.02	14:20:00	90075	90138	90064	90086	3408	10370	1
2018.05.02	14:25:00	90091	90117	90006	90086	4764	15246	1
2018.05.02	14:30:00	90086	90149	90080	90117	3422	11917	1
2018.05.02	14:35:00	90112	90202	90101	90154	4264	13951	1
2018.05.02	14:40:00	90149	90255	90144	90186	5767	20031	1
2018.05.02	14:45:00	90186	90223	90170	90181	2161	6851	1
2018.05.02	14:50:00	90186	90202	90128	90191	2970	8748	1
2018.05.02	14:55:00	90191	90265	90165	90244	3340	10732	1
2018.05.02	15:00:00	90250	90435	90149	90435	14908	49084	1
2018.05.02	15:05:00	90429	90445	90281	90366	8327	29543	1
2018.05.02	15:10:00	90366	90556	90339	90530	9628	35076	1
2018.05.02	15:15:00	90535	90747	90524	90551	15423	52780	1
2018.05.02	15:20:00	90546	90604	90313	90355	12156	44321	1
2018.05.02	15:25:00	90350	90509	90324	90466	7089	27861	1
2018.05.02	15:30:00	90466	90493	90387	90419	4742	17002	1
2018.05.02	15:35:00	90424	90524	90382	90456	5956	22969	1
2018.05.02	15:40:00	90456	90604	90424	90493	6596	23092	1
2018.05.02	15:45:00	90487	90546	90456	90503	3700	12947	1
2018.05.02	15:50:00	90503	90567	90403	90435	5626	20029	1
2018.05.02	15:55:00	90440	90567	90387	90556	6743	25244	1
2018.05.02	16:00:00	90562	90604	90487	90572	5252	20027	1
2018.05.02	16:05:00	90572	90593	90530	90572	2818	9686	1
2018.05.02	16:10:00	90572	90583	90477	90487	3265	11127	1
2018.05.02	16:15:00	90487	90498	90429	90440	3472	12287	1
2018.05.02	16:20:00	90440	90466	90191	90212	9807	37524	1
2018.05.02	16:25:00	90202	90244	90080	90091	7523	30459	1
2018.05.02	16:30:00	90096	90101	89953	90070	10015	42549	1
2018.05.02	16:35:00	90070	90086	89943	89980	6078	24808	1
2018.05.02	16:40:00	89975	89990	89858	89916	7421	31722	1
2018.05.02	16:45:00	89911	89922	89800	89826	6335	24267	1
2018.05.02	16:50:00	89826	89885	89795	89885	4499	18023	1
2018.05.02	16:55:00	89885	89969	89858	89943	4755	20345	1
2018.05.02	17:00:00	89943	89969	89916	89932	2266	10143	1
2018.05.02	17:05:00	89927	89990	89916	89953	2764	9924	1
2018.05.02	17:10:00	89948	90001	89922	89922	1962	7561	1
2018.05.02	17:15:00	89927	90006	89922	89943	1541	6742	1
2018.05.02	17:20:00	89938	89959	89832	89853	2739	11080	1
2018.05.02	17:25:00	89853	89874	89821	89863	1188	5097	1
2018.05.02	17:30:00	89863	89885	89842	89858	1355	5998	1
2018.05.02	17:35:00	89853	89927	89853	89906	1309	6199	1
2018.05.02	17:40:00	89906	89938	89885	89932	881	3598	1
2018.05.02	17:45:00	89932	89938	89858	89863	1765	7555	1
2018.05.02	17:50:00	89858	89890	89763	89890	1947	9546	1
2018.05.03	09:00:00	89980	90012	89663	89678	11853	33797	1
2018.05.03	09:05:00	89673	89737	89631	89715	7079	22403	1
2018.05.03	09:10:00	89715	89752	89589	89668	7590	21520	1
2018.05.03	09:15:00	89668	89768	89636	89763	6516	18520	1
2018.05.03	09:20:00	89763	89784	89689	89715	5264	15160	1
2018.05.03	09:25:00	89721	89737	89641	89663	4154	12428	1
2018.05.03	09:30:00	89663	89784	89647	89763	5745	18180	1
2018.05.03	09:35:00	89768	89784	89700	89742	3799	11888	1
2018.05.03	09:40:00	89742	89768	89715	89726	2091	6714	1
2018.05.03	09:45:00	89726	89763	89657	89668	4633	13139	1
2018.05.03	09:50:00	89663	89705	89541	89557	9253	29674	1
2018.05.03	09:55:00	89557	89610	89504	89562	9816	29671	1
2018.05.03	10:00:00	89567	89705	89530	89700	9257	26809	1
2018.05.03	10:05:00	89700	89832	89647	89811	11639	34683	1
2018.05.03	10:10:00	89805	89832	89562	89610	13697	41924	1
2018.05.03	10:15:00	89604	89620	89382	89425	15613	52578	1
2018.05.03	10:20:00	89425	89514	89403	89493	7789	23617	1
2018.05.03	10:25:00	89493	89647	89483	89631	7461	24463	1
2018.05.03	10:30:00	89631	89731	89557	89567	16780	55585	1
2018.05.03	10:35:00	89567	89567	89351	89477	16676	54470	1
2018.05.03	10:40:00	89477	89536	89414	89451	9240	33450	1
2018.05.03	10:45:00	89446	89668	89335	89657	15093	51259	1
2018.05.03	10:50:00	89657	89832	89657	89710	13350	45192	1
2018.05.03	10:55:00	89705	89938	89689	89848	12133	41048	1
2018.05.03	11:00:00	89848	89943	89747	89789	10686	33481	1
2018.05.03	11:05:00	89795	89906	89710	89805	9794	35238	1
2018.05.03	11:10:00	89805	89837	89668	89678	7083	25142	1
2018.05.03	11:15:00	89684	89795	89615	89631	9651	34234	1
2018.05.03	11:20:00	89626	89652	89430	89467	12900	48454	1
2018.05.03	11:25:00	89467	89541	89382	89446	12904	45777	1
2018.05.03	11:30:00	89451	89472	89128	89128	19870	70443	1
2018.05.03	11:35:00	89128	89134	89023	89107	13359	53160	1
2018.05.03	11:40:00	89102	89176	89054	89107	8743	32395	1
2018.05.03	11:45:00	89107	89155	89060	89081	5016	18819	1
2018.05.03	11:50:00	89076	89128	88959	89102	10565	37900	1
2018.05.03	11:55:00	89102	89107	88875	88912	12294	45507	1
2018.05.03	12:00:00	88912	88991	88779	88885	12625	47722	1
2018.05.03	12:05:00	88885	88996	88864	88965	6238	21394	1
2018.05.03	12:10:00	88965	89007	88885	88917	6181	23604	1
2018.05.03	12:15:00	88922	88975	88711	88727	10854	39079	1
2018.05.03	12:20:00	88721	88785	88674	88758	7804	29367	1
2018.05.03	12:25:00	88764	88769	88467	88489	10755	42214	1
2018.05.03	12:30:00	88489	88616	88483	88594	7926	33474	1
2018.05.03	12:35:00	88594	88647	88579	88610	5076	21460	1
2018.05.03	12:40:00	88610	88647	88504	88531	5973	22964	1
2018.05.03	12:45:00	88526	88674	88478	88658	8244	30345	1
2018.05.03	12:50:00	88658	88711	88594	88690	5396	22544	1
2018.05.03	12:55:00	88679	88727	88647	88674	3794	15064	1
2018.05.03	13:00:00	88679	88716	88547	88594	6600	24733	1
2018.05.03	13:05:00	88594	88684	88589	88663	4075	15097	1
2018.05.03	13:10:00	88663	88721	88610	88711	3775	15064	1
2018.05.03	13:15:00	88711	88753	88658	88674	4260	17002	1
2018.05.03	13:20:00	88674	88705	88631	88658	3098	11706	1
2018.05.03	13:25:00	88653	88658	88531	88557	5441	21744	1
2018.05.03	13:30:00	88557	88727	88531	88705	4764	19848	1
2018.05.03	13:35:00	88705	88901	88684	88875	10126	38833	1
2018.05.03	13:40:00	88875	88959	88848	88912	6692	25362	1
2018.05.03	13:45:00	88906	89028	88906	88975	6490	25825	1
2018.05.03	13:50:00	88980	89049	88896	89012	6878	26816	1
2018.05.03	13:55:00	89012	89039	88928	88991	6500	24817	1
2018.05.03	14:00:00	88991	89017	88785	88806	9230	35174	1
2018.05.03	14:05:00	88806	88912	88769	88859	5898	22856	1
2018.05.03	14:10:00	88859	88938	88811	88896	5699	21224	1
2018.05.03	14:15:00	88896	89002	88891	88896	6238	21228	1
2018.05.03	14:20:00	88891	88949	88827	88864	5283	18580	1
2018.05.03	14:25:00	88859	88933	88790	88880	5569	20142	1
2018.05.03	14:30:00	88880	89102	88875	89086	8869	35867	1
2018.05.03	14:35:00	89081	89234	89065	89187	10645	41209	1
2018.05.03	14:40:00	89187	89298	89181	89250	6946	28034	1
2018.05.03	14:45:00	89250	89287	89113	89165	7394	26327	1
2018.05.03	14:50:00	89171	89234	89113	89192	4924	18019	1
2018.05.03	14:55:00	89197	89255	89165	89165	4537	16256	1
2018.05.03	15:00:00	89165	89197	89070	89113	5385	20308	1
2018.05.03	15:05:00	89118	89240	89097	89208	5419	21029	1
2018.05.03	15:10:00	89208	89218	89113	89165	4678	17611	1
2018.05.03	15:15:00	89171	89192	89102	89123	3761	14302	1
2018.05.03	15:20:00	89128	89134	89028	89081	5381	22388	1
2018.05.03	15:25:00	89081	89107	88848	88933	8883	37436	1
2018.05.03	15:30:00	88938	89192	88933	89160	9902	38088	1
2018.05.03	15:35:00	89155	89340	89118	89303	10584	41629	1
2018.05.03	15:40:00	89308	89329	89181	89229	8336	29544	1
2018.05.03	15:45:00	89234	89250	89054	89123	7851	30379	1
2018.05.03	15:50:00	89128	89144	89028	89134	6099	22076	1
2018.05.03	15:55:00	89134	89144	88949	89039	6773	28425	1
2018.05.03	16:00:00	89039	89150	88991	89012	6288	26485	1
2018.05.03	16:05:00	89012	89065	88906	88928	7058	26166	1
2018.05.03	16:10:00	88928	88986	88901	88938	4576	18870	1
2018.05.03	16:15:00	88933	89033	88891	88922	5788	21247	1
2018.05.03	16:20:00	88922	88938	88832	88901	5087	19600	1
2018.05.03	16:25:00	88901	88933	88795	88827	5770	20837	1
2018.05.03	16:30:00	88832	89002	88832	88917	5649	21678	1
2018.05.03	16:35:00	88917	89007	88859	88901	4909	19454	1
2018.05.03	16:40:00	88912	88922	88838	88864	3150	14051	1
2018.05.03	16:45:00	88864	88864	88642	88647	8631	35550	1
2018.05.03	16:50:00	88647	88758	88605	88695	7354	32365	1
2018.05.03	16:55:00	88700	88705	88573	88679	5711	25990	1
2018.05.03	17:00:00	88674	88732	88573	88594	4942	21284	1
2018.05.03	17:05:00	88594	88653	88489	88504	4444	21400	1
2018.05.03	17:10:00	88504	88610	88489	88573	2585	13724	1
2018.05.03	17:15:00	88573	88637	88552	88610	1708	8254	1
2018.05.03	17:20:00	88616	88626	88483	88489	2288	10588	1
2018.05.03	17:25:00	88489	88621	88420	88542	4173	20552	1
2018.05.03	17:30:00	88536	88547	88478	88489	1411	6203	1
2018.05.03	17:35:00	88483	88499	88473	88478	608	3536	1
2018.05.03	17:40:00	88478	88573	88478	88568	1583	6780	1
2018.05.03	17:45:00	88563	88573	88478	88494	1485	5849	1
2018.05.03	17:50:00	88499	88573	88478	88526	1418	7068	1
2018.05.04	09:00:00	88647	88753	88573	88600	5504	18097	1
2018.05.04	09:05:00	88600	88626	88134	88182	14150	47798	1
2018.05.04	09:10:00	88182	88219	87944	88023	9160	31348	1
2018.05.04	09:15:00	88018	88044	87886	87939	7337	26161	1
2018.05.04	09:20:00	87933	88018	87886	87976	4507	15797	1
2018.05.04	09:25:00	87976	88245	87933	88193	7587	23933	1
2018.05.04	09:30:00	88193	88367	87960	88256	19667	60365	1
2018.05.04	09:35:00	88256	88288	88013	88087	11958	39032	1
2018.05.04	09:40:00	88092	88214	87970	88150	12420	40861	1
2018.05.04	09:45:00	88150	88182	87955	88055	10594	35129	1
2018.05.04	09:50:00	88050	88171	88023	88087	6225	21392	1
2018.05.04	09:55:00	88087	88224	88060	88219	4522	15404	1
2018.05.04	10:00:00	88224	88282	88039	88187	11042	35033	1
2018.05.04	10:05:00	88187	88245	88007	88193	12686	38678	1
2018.05.04	10:10:00	88193	88367	88171	88182	13621	44478	1
2018.05.04	10:15:00	88177	88277	88081	88171	10103	33318	1
2018.05.04	10:20:00	88166	88219	87976	88081	12605	43765	1
2018.05.04	10:25:00	88081	88245	88071	88103	9597	31984	1
2018.05.04	10:30:00	88103	88171	87960	88087	15384	57611	1
2018.05.04	10:35:00	88087	88356	88066	88314	17083	60695	1
2018.05.04	10:40:00	88314	88341	88134	88330	12153	42360	1
2018.05.04	10:45:00	88325	88462	88314	88393	14114	48269	1
2018.05.04	10:50:00	88393	88430	88235	88356	12560	42955	1
2018.05.04	10:55:00	88351	88367	88235	88293	7762	27377	1
2018.05.04	11:00:00	88293	88304	88108	88203	13152	46117	1
2018.05.04	11:05:00	88198	88372	88150	88367	9819	33967	1
2018.05.04	11:10:00	88367	88510	88330	88478	11796	43611	1
2018.05.04	11:15:00	88473	88510	88378	88430	8580	32212	1
2018.05.04	11:20:00	88430	88552	88415	88489	8099	30710	1
2018.05.04	11:25:00	88489	88600	88452	88557	9877	38891	1
2018.05.04	11:30:00	88552	88748	88547	88727	11572	47207	1
2018.05.04	11:35:00	88732	88795	88658	88769	8962	36315	1
2018.05.04	11:40:00	88764	88906	88764	88785	13310	50850	1
2018.05.04	11:45:00	88785	88838	88737	88758	5699	20443	1
2018.05.04	11:50:00	88764	88816	88631	88705	7688	30228	1
2018.05.04	11:55:00	88711	88764	88579	88589	6859	28991	1
2018.05.04	12:00:00	88589	88721	88557	88642	7395	30796	1
2018.05.04	12:05:00	88637	88658	88467	88531	8875	37520	1
2018.05.04	12:10:00	88526	88690	88520	88584	6823	26625	1
2018.05.04	12:15:00	88579	88621	88504	88536	4765	19158	1
2018.05.04	12:20:00	88536	88711	88504	88663	7731	30188	1
2018.05.04	12:25:00	88663	88769	88626	88732	6335	25457	1
2018.05.04	12:30:00	88732	88896	88700	88859	6086	25223	1
2018.05.04	12:35:00	88864	88943	88853	88864	7361	29052	1
2018.05.04	12:40:00	88864	88928	88816	88885	5355	20532	1
2018.05.04	12:45:00	88891	88975	88769	88785	7166	27109	1
2018.05.04	12:50:00	88785	88848	88769	88806	2936	12720	1
2018.05.04	12:55:00	88806	88933	88790	88912	4121	18433	1
2018.05.04	13:00:00	88912	88938	88827	88922	4285	17387	1
2018.05.04	13:05:00	88922	88954	88869	88922	4428	19243	1
2018.05.04	13:10:00	88928	88991	88885	88901	4804	20138	1
2018.05.04	13:15:00	88901	88938	88822	88901	4772	17919	1
2018.05.04	13:20:00	88901	89033	88859	89012	6021	25552	1
2018.05.04	13:25:00	89007	89049	88906	88928	4461	18937	1
2018.05.04	13:30:00	88928	88938	88875	88891	2348	8354	1
2018.05.04	13:35:00	88885	88965	88848	88954	4313	17607	1
2018.05.04	13:40:00	88943	88970	88891	88901	2745	11483	1
2018.05.04	13:45:00	88896	88906	88795	88869	5590	24850	1
2018.05.04	13:50:00	88869	88965	88859	88965	4922	20975	1
2018.05.04	13:55:00	88965	89007	88912	88933	4101	17784	1
2018.05.04	14:00:00	88938	88996	88906	88922	3316	13426	1
2018.05.04	14:05:00	88922	88949	88875	88891	2871	11878	1
2018.05.04	14:10:00	88891	88938	88875	88875	2558	11554	1
2018.05.04	14:15:00	88885	88938	88859	88885	2995	11955	1
2018.05.04	14:20:00	88885	89060	88880	89017	7686	30748	1
2018.05.04	14:25:00	89023	89023	88912	88917	4323	17918	1
2018.05.04	14:30:00	88912	88938	88822	88869	4950	20145	1
2018.05.04	14:35:00	88869	88912	88822	88891	3926	15779	1
2018.05.04	14:40:00	88896	88912	88816	88843	3243	12894	1
2018.05.04	14:45:00	88838	88885	88832	88859	2000	7495	1
2018.05.04	14:50:00	88853	88928	88853	88875	3259	11917	1
2018.05.04	14:55:00	88869	88901	88869	88891	1383	5669	1
2018.05.04	15:00:00	88891	88896	88727	88737	7542	29025	1
2018.05.04	15:05:00	88737	88922	88705	88906	8328	33466	1
2018.05.04	15:10:00	88917	88970	88875	88949	6111	23909	1
2018.05.04	15:15:00	88943	88954	88859	88869	3400	13524	1
2018.05.04	15:20:00	88869	88933	88859	88875	2615	10687	1
2018.05.04	15:25:00	88875	88928	88848	88917	2869	11268	1
2018.05.04	15:30:00	88917	88965	88880	88928	2759	11524	1
2018.05.04	15:35:00	88928	88933	88848	88912	3369	13950	1
2018.05.04	15:40:00	88912	88970	88891	88933	2669	11512	1
2018.05.04	15:45:00	88933	88954	88864	88880	2516	9780	1
2018.05.04	15:50:00	88880	88891	88816	88822	3867	15677	1
2018.05.04	15:55:00	88827	88838	88626	88626	8897	34366	1
2018.05.04	16:00:00	88631	88769	88610	88742	7042	29879	1
2018.05.04	16:05:00	88742	88758	88473	88526	9993	42199	1
2018.05.04	16:10:00	88520	88716	88457	88705	9022	38069	1
2018.05.04	16:15:00	88711	88811	88616	88758	8034	33692	1
2018.05.04	16:20:00	88764	88790	88705	88753	3123	14274	1
2018.05.04	16:25:00	88764	88832	88737	88811	3186	13239	1
2018.05.04	16:30:00	88806	88891	88742	88795	6122	26258	1
2018.05.04	16:35:00	88801	88848	88679	88684	4435	18624	1
2018.05.04	16:40:00	88684	88758	88658	88695	4757	18613	1
2018.05.04	16:45:00	88690	88774	88626	88705	6143	25443	1
2018.05.04	16:50:00	88705	88711	88579	88594	4223	18352	1
2018.05.04	16:55:00	88594	88764	88542	88695	7116	29750	1
2018.05.04	17:00:00	88700	88727	88584	88610	4530	20185	1
2018.05.04	17:05:00	88610	88616	88446	88478	5649	23632	1
2018.05.04	17:10:00	88473	88589	88415	88536	4991	20978	1
2018.05.04	17:15:00	88536	88573	88478	88526	2252	9840	1
2018.05.04	17:20:00	88526	88552	88489	88531	1435	6513	1
2018.05.04	17:25:00	88536	88573	88494	88547	1113	5084	1
2018.05.04	17:30:00	88542	88547	88415	88430	2250	10062	1
2018.05.04	17:35:00	88430	88483	88425	88478	1128	5315	1
2018.05.04	17:40:00	88478	88483	88446	88452	691	3568	1
2018.05.04	17:45:00	88446	88478	88425	88446	1170	5277	1
2018.05.04	17:50:00	88446	88473	88415	88415	1348	7431	1
2018.05.07	09:00:00	88520	88579	88319	88489	8053	26621	1
2018.05.07	09:05:00	88489	88531	88362	88457	8100	25081	1
2018.05.07	09:10:00	88457	88547	88420	88489	4691	13983	1
2018.05.07	09:15:00	88483	88483	88245	88245	8688	25446	1
2018.05.07	09:20:00	88251	88383	88245	88367	6133	18306	1
2018.05.07	09:25:00	88367	88436	88351	88388	4420	12854	1
2018.05.07	09:30:00	88393	88462	88378	88452	3280	10874	1
2018.05.07	09:35:00	88457	88520	88409	88420	6459	20797	1
2018.05.07	09:40:00	88420	88446	88272	88404	11104	35555	1
2018.05.07	09:45:00	88404	88473	88383	88399	4246	12852	1
2018.05.07	09:50:00	88404	88462	88372	88446	3964	11813	1
2018.05.07	09:55:00	88452	88515	88415	88473	4932	13765	1
2018.05.07	10:00:00	88473	88489	88393	88473	5738	17695	1
2018.05.07	10:05:00	88478	88626	88467	88515	11848	37536	1
2018.05.07	10:10:00	88515	88600	88372	88557	11939	35904	1
2018.05.07	10:15:00	88557	88642	88520	88589	8135	25841	1
2018.05.07	10:20:00	88589	88626	88467	88520	7138	21870	1
2018.05.07	10:25:00	88520	88557	88430	88478	7220	22616	1
2018.05.07	10:30:00	88478	88600	88383	88436	16902	56426	1
2018.05.07	10:35:00	88430	88457	88325	88393	12944	42010	1
2018.05.07	10:40:00	88399	88547	88372	88515	8092	28531	1
2018.05.07	10:45:00	88520	88774	88504	88764	13439	47057	1
2018.05.07	10:50:00	88758	88806	88705	88721	7942	28215	1
2018.05.07	10:55:00	88727	88869	88716	88832	7766	28236	1
2018.05.07	11:00:00	88832	88880	88774	88859	7868	26943	1
2018.05.07	11:05:00	88853	88896	88758	88827	6688	22973	1
2018.05.07	11:10:00	88827	88843	88668	88679	8254	28006	1
2018.05.07	11:15:00	88684	88758	88668	88684	5799	20127	1
2018.05.07	11:20:00	88690	88795	88668	88727	6144	20663	1
2018.05.07	11:25:00	88732	88811	88637	88769	8304	28497	1
2018.05.07	11:30:00	88774	88822	88711	88758	4314	14942	1
2018.05.07	11:35:00	88764	88785	88637	88674	6138	22124	1
2018.05.07	11:40:00	88674	88721	88589	88700	7255	24960	1
2018.05.07	11:45:00	88705	88811	88668	88774	5642	19481	1
2018.05.07	11:50:00	88769	88848	88748	88832	5069	17847	1
2018.05.07	11:55:00	88838	88912	88790	88869	7438	25521	1
2018.05.07	12:00:00	88869	88891	88827	88864	3582	13707	1
2018.05.07	12:05:00	88869	88928	88785	88922	9117	32974	1
2018.05.07	12:10:00	88922	88986	88906	88922	5765	21234	1
2018.05.07	12:15:00	88917	88943	88811	88838	5664	19611	1
2018.05.07	12:20:00	88838	88869	88758	88779	4284	14365	1
2018.05.07	12:25:00	88785	88816	88695	88700	4665	15685	1
2018.05.07	12:30:00	88711	88727	88626	88647	6904	23454	1
2018.05.07	12:35:00	88647	88663	88552	88589	6075	23241	1
2018.05.07	12:40:00	88594	88637	88399	88436	11968	48085	1
2018.05.07	12:45:00	88430	88483	88351	88388	9213	34068	1
2018.05.07	12:50:00	88388	88446	88314	88383	7091	27467	1
2018.05.07	12:55:00	88388	88436	88314	88378	5027	17638	1
2018.05.07	13:00:00	88383	88457	88362	88425	3849	14098	1
2018.05.07	13:05:00	88425	88499	88415	88446	4214	13827	1
2018.05.07	13:10:00	88452	88499	88436	88462	2215	7947	1
2018.05.07	13:15:00	88467	88526	88446	88515	3231	10905	1
2018.05.07	13:20:00	88515	88579	88462	88526	6285	23025	1
2018.05.07	13:25:00	88526	88547	88478	88520	2960	10766	1
2018.05.07	13:30:00	88515	88563	88473	88520	3560	12804	1
2018.05.07	13:35:00	88520	88584	88489	88526	3506	13039	1
2018.05.07	13:40:00	88531	88547	88420	88520	5151	18342	1
2018.05.07	13:45:00	88520	88557	88441	88520	3694	13684	1
2018.05.07	13:50:00	88510	88663	88504	88653	5923	21857	1
2018.05.07	13:55:00	88653	88700	88579	88589	4909	18685	1
2018.05.07	14:00:00	88594	88600	88489	88547	5090	21186	1
2018.05.07	14:05:00	88542	88563	88425	88441	5582	21108	1
2018.05.07	14:10:00	88441	88494	88393	88483	4641	18526	1
2018.05.07	14:15:00	88473	88489	88399	88483	3263	11787	1
2018.05.07	14:20:00	88478	88552	88467	88542	3910	13373	1
2018.05.07	14:25:00	88536	88616	88515	88605	3618	14303	1
2018.05.07	14:30:00	88605	88764	88594	88748	9110	34534	1
2018.05.07	14:35:00	88753	88790	88705	88753	4164	16800	1
2018.05.07	14:40:00	88748	88790	88668	88748	5878	23326	1
2018.05.07	14:45:00	88742	88859	88721	88785	4997	21335	1
2018.05.07	14:50:00	88785	88822	88764	88785	2561	10524	1
2018.05.07	14:55:00	88790	88832	88769	88790	2155	8259	1
2018.05.07	15:00:00	88795	88816	88742	88764	3158	11628	1
2018.05.07	15:05:00	88758	88838	88742	88806	2930	11921	1
2018.05.07	15:10:00	88806	88822	88774	88795	1880	6848	1
2018.05.07	15:15:00	88795	88801	88721	88758	3638	14702	1
2018.05.07	15:20:00	88758	88785	88705	88742	3467	12217	1
2018.05.07	15:25:00	88748	88753	88700	88711	2479	9134	1
2018.05.07	15:30:00	88716	88764	88674	88748	4161	16568	1
2018.05.07	15:35:00	88748	88758	88668	88684	3244	12395	1
2018.05.07	15:40:00	88679	88711	88584	88600	5160	19713	1
2018.05.07	15:45:00	88605	88605	88489	88499	7351	28683	1
2018.05.07	15:50:00	88499	88526	88404	88452	7961	32252	1
2018.05.07	15:55:00	88441	88478	88356	88393	6535	25136	1
2018.05.07	16:00:00	88388	88430	88330	88430	5485	21169	1
2018.05.07	16:05:00	88436	88462	88193	88219	11615	43519	1
2018.05.07	16:10:00	88219	88267	88039	88071	10786	45932	1
2018.05.07	16:15:00	88066	88108	87902	87933	12478	52351	1
2018.05.07	16:20:00	87939	87960	87764	87812	13506	51522	1
2018.05.07	16:25:00	87812	87896	87806	87875	5124	20709	1
2018.05.07	16:30:00	87870	87981	87833	87965	6088	26350	1
2018.05.07	16:35:00	87965	87997	87918	87928	4292	18575	1
2018.05.07	16:40:00	87923	87923	87822	87865	6548	25722	1
2018.05.07	16:45:00	87865	87912	87843	87875	3328	14376	1
2018.05.07	16:50:00	87881	87965	87854	87939	4068	16857	1
2018.05.07	16:55:00	87939	88023	87912	87965	5536	22699	1
2018.05.07	17:00:00	87965	87997	87912	87918	2954	12942	1
2018.05.07	17:05:00	87923	87923	87881	87896	1945	8029	1
2018.05.07	17:10:00	87896	87918	87843	87886	2112	8601	1
2018.05.07	17:15:00	87886	87912	87854	87907	1303	5668	1
2018.05.07	17:20:00	87912	87928	87886	87912	1076	3698	1
2018.05.07	17:25:00	87907	87923	87881	87918	783	2915	1
2018.05.07	17:30:00	87918	87923	87875	87896	727	2763	1
2018.05.07	17:35:00	87896	87918	87833	87854	1413	5771	1
2018.05.07	17:40:00	87854	87907	87849	87891	962	4194	1
2018.05.07	17:45:00	87886	87912	87791	87828	2439	10497	1
2018.05.07	17:50:00	87828	87859	87738	87738	1605	10290	1
2018.05.08	09:00:00	87801	87939	87611	87648	10414	36789	1
2018.05.08	09:05:00	87653	87748	87637	87722	6748	21650	1
2018.05.08	09:10:00	87727	88039	87717	88039	11837	36178	1
2018.05.08	09:15:00	88034	88066	87976	88013	5361	17075	1
2018.05.08	09:20:00	88007	88134	87992	88044	8430	27215	1
2018.05.08	09:25:00	88050	88071	87970	87986	4560	14990	1
2018.05.08	09:30:00	87986	87986	87928	87965	4359	13617	1
2018.05.08	09:35:00	87965	87976	87891	87918	5104	16245	1
2018.05.08	09:40:00	87923	88018	87907	88002	5645	16568	1
2018.05.08	09:45:00	88007	88018	87854	87859	6414	20057	1
2018.05.08	09:50:00	87859	87933	87806	87828	8821	30772	1
2018.05.08	09:55:00	87833	87965	87812	87902	7067	21305	1
2018.05.08	10:00:00	87896	88023	87785	87965	14461	47415	1
2018.05.08	10:05:00	87960	88113	87923	88081	12982	43691	1
2018.05.08	10:10:00	88081	88457	88076	88335	29045	96785	1
2018.05.08	10:15:00	88335	88457	88198	88425	16541	58322	1
2018.05.08	10:20:00	88420	88600	88388	88552	17598	57887	1
2018.05.08	10:25:00	88547	88563	88378	88378	6589	22103	1
2018.05.08	10:30:00	88383	88557	88282	88520	14617	54324	1
2018.05.08	10:35:00	88520	88536	88171	88177	16085	59477	1
2018.05.08	10:40:00	88177	88193	87870	87907	20663	78819	1
2018.05.08	10:45:00	87902	87965	87584	87669	21076	79346	1
2018.05.08	10:50:00	87664	87769	87336	87357	21030	76337	1
2018.05.08	10:55:00	87357	87553	87352	87537	11007	41881	1
2018.05.08	11:00:00	87537	87849	87494	87843	12946	50490	1
2018.05.08	11:05:00	87838	87986	87759	87907	14039	49978	1
2018.05.08	11:10:00	87907	87960	87828	87907	8670	29357	1
2018.05.08	11:15:00	87907	88219	87902	88113	15898	55548	1
2018.05.08	11:20:00	88113	88203	88039	88113	10338	36527	1
2018.05.08	11:25:00	88113	88140	87912	88013	9359	31876	1
2018.05.08	11:30:00	88013	88256	88002	88251	9945	33854	1
2018.05.08	11:35:00	88256	88304	88198	88214	7557	28674	1
2018.05.08	11:40:00	88219	88288	88129	88235	7643	26317	1
2018.05.08	11:45:00	88230	88261	88118	88177	7171	23671	1
2018.05.08	11:50:00	88182	88219	88081	88193	6114	20547	1
2018.05.08	11:55:00	88193	88198	88018	88034	6557	25407	1
2018.05.08	12:00:00	88034	88055	87923	88002	8361	30452	1
2018.05.08	12:05:00	88007	88013	87653	87658	13473	51212	1
2018.05.08	12:10:00	87653	87859	87632	87854	11305	43613	1
2018.05.08	12:15:00	87854	87907	87632	87669	11823	44566	1
2018.05.08	12:20:00	87669	87743	87579	87648	8980	32240	1
2018.05.08	12:25:00	87648	87738	87616	87627	6465	24624	1
2018.05.08	12:30:00	87627	87785	87616	87653	7774	28504	1
2018.05.08	12:35:00	87653	87849	87653	87743	8483	30573	1
2018.05.08	12:40:00	87738	87833	87579	87833	10846	37371	1
2018.05.08	12:45:00	87828	87955	87791	87881	7362	27119	1
2018.05.08	12:50:00	87886	87986	87833	87955	6912	25679	1
2018.05.08	12:55:00	87949	87992	87881	87896	4300	16052	1
2018.05.08	13:00:00	87896	88145	87886	88108	9634	31844	1
2018.05.08	13:05:00	88108	88193	88039	88145	7318	25111	1
2018.05.08	13:10:00	88145	88256	88087	88235	6036	22090	1
