<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.11.19	12:25:00	90454	90536	90413	90480	9748	29024	1
2018.11.19	12:30:00	90480	90547	90228	90336	20561	67051	1
2018.11.19	12:35:00	90336	90562	90228	90454	20510	68554	1
2018.11.19	12:40:00	90454	90526	90372	90439	11316	38084	1
2018.11.19	12:45:00	90439	90470	90197	90218	14190	48611	1
2018.11.19	12:50:00	90223	90280	90095	90208	19341	63098	1
2018.11.19	12:55:00	90208	90387	90161	90367	11969	40879	1
2018.11.19	13:00:00	90377	90382	90202	90233	10223	34359	1
2018.11.19	13:05:00	90228	90269	90120	90187	12032	39410	1
2018.11.19	13:10:00	90187	90346	90146	90315	10387	33715	1
2018.11.19	13:15:00	90315	90495	90280	90321	13234	43257	1
2018.11.19	13:20:00	90326	90387	90269	90331	7550	24987	1
2018.11.19	13:25:00	90326	90418	90249	90295	8809	27268	1
2018.11.19	13:30:00	90295	90403	90238	90310	9147	30508	1
2018.11.19	13:35:00	90310	90459	90290	90428	9065	28550	1
2018.11.19	13:40:00	90434	90542	90418	90521	11348	39891	1
2018.11.19	13:45:00	90521	90670	90511	90567	13062	44346	1
2018.11.19	13:50:00	90572	90639	90536	90583	7556	24998	1
2018.11.19	13:55:00	90588	90655	90557	90634	5084	17539	1
2018.11.19	14:00:00	90639	90721	90536	90577	11627	38614	1
2018.11.19	14:05:00	90572	90660	90542	90598	7139	23875	1
2018.11.19	14:10:00	90598	90619	90485	90495	7701	24047	1
2018.11.19	14:15:00	90495	90495	90372	90464	12680	40313	1
2018.11.19	14:20:00	90464	90644	90439	90577	11352	39308	1
2018.11.19	14:25:00	90588	90598	90464	90516	8732	28931	1
2018.11.19	14:30:00	90511	90608	90475	90485	9405	32297	1
2018.11.19	14:35:00	90485	90526	90393	90408	8576	29089	1
2018.11.19	14:40:00	90408	90495	90331	90485	12622	40614	1
2018.11.19	14:45:00	90485	90506	90387	90418	6965	24576	1
2018.11.19	14:50:00	90423	90480	90357	90372	9933	33570	1
2018.11.19	14:55:00	90367	90413	90280	90305	11801	37504	1
2018.11.19	15:00:00	90305	90336	90228	90254	10852	33709	1
2018.11.19	15:05:00	90254	90280	90131	90192	10497	34652	1
2018.11.19	15:10:00	90187	90295	90161	90254	10182	32215	1
2018.11.19	15:15:00	90254	90290	90079	90187	14670	47211	1
2018.11.19	15:20:00	90182	90218	90059	90084	9520	30164	1
2018.11.19	15:25:00	90084	90095	89946	89987	13871	42991	1
2018.11.19	15:30:00	89987	89992	89719	89771	19143	60666	1
2018.11.19	15:35:00	89776	90007	89735	90002	15611	52402	1
2018.11.19	15:40:00	89992	90156	89992	90053	15602	50139	1
2018.11.19	15:45:00	90053	90120	89925	89940	9456	32472	1
2018.11.19	15:50:00	89940	90120	89853	90053	12721	41093	1
2018.11.19	15:55:00	90053	90115	89961	90028	8368	28340	1
2018.11.19	16:00:00	90033	90043	89946	90007	7339	23190	1
2018.11.19	16:05:00	90007	90105	89920	89961	9022	29444	1
2018.11.19	16:10:00	89971	90084	89956	90012	8408	24282	1
2018.11.19	16:15:00	90012	90038	89899	90023	9586	29772	1
2018.11.19	16:20:00	90017	90146	89971	90089	11545	37078	1
2018.11.19	16:25:00	90084	90161	90043	90105	8303	26546	1
2018.11.19	16:30:00	90105	90156	89961	90012	13428	44880	1
2018.11.19	16:35:00	90012	90259	89966	90182	16354	52981	1
2018.11.19	16:40:00	90187	90259	90136	90233	8995	30253	1
2018.11.19	16:45:00	90238	90331	90208	90254	9719	35377	1
2018.11.19	16:50:00	90259	90315	90228	90305	6033	19492	1
2018.11.19	16:55:00	90300	90362	90295	90326	7162	25846	1
